# File saxj1808.4-3653_29.82h.dat
# Created Sat Oct 31 10:45:02 2015
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is from MINBAR burst #3040
# (#4 in Galloway et al. 2008, ApJS 179, 360), of
# SAX J1808.4-3658, observed on MJD 52566.42677
# by the Rossi X-ray Timing Explorer (RXTE).
# 
# For full details of the source sample see
# http://burst.sci.monash.edu/minbar 
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 -1.500  0.250   4.01    0.378   1.337  0.071  116.612  27.621  1.357
 -1.250  0.750   2.22    0.351   1.151  0.095  117.366  45.745  0.766
 -0.500  0.250  16.00    0.641   1.559  0.035  251.464  23.664  1.306
 -0.250  0.250  34.15    0.896   1.742  0.028  344.278  22.199  1.049
  0.000  0.250 107.40    2.053   2.238  0.023  397.428  15.124  2.255
  0.250  0.250 164.01    5.474   2.456  0.045  418.569  27.100  1.195
  0.500  0.250 206.63    3.723   2.831  0.027  298.901   9.348  1.522
  0.750  0.750 205.86    8.146   2.917  0.059  264.109  17.404  1.099
  1.500  0.250 196.24    3.088   2.485  0.022  477.931  14.624  2.322
  1.750  0.750 198.47    5.878   2.399  0.040  556.976  33.116  1.895
  2.500  0.250 204.44    2.907   2.196  0.017  816.202  23.544  3.707
  2.750  0.750 194.62    7.505   2.144  0.049  855.984  72.486  1.287
  3.500  1.000 212.75    2.909   2.116  0.016  985.386  27.489  2.649
  4.500  1.000 218.80    2.995   2.143  0.016  963.405  27.103  3.659
  5.500  2.000 228.13    3.185   2.266  0.017  803.619  22.457  4.719
  7.500  0.250 231.96    3.941   2.820  0.025  340.875   9.996  1.245
  7.750  0.750 216.51   10.869   2.812  0.077  321.752  29.143  1.335
  8.500  0.250 218.16    3.474   2.595  0.022  446.859  13.152  2.330
  8.750  1.750 205.82    8.701   2.476  0.057  508.833  41.126  1.141
 10.500  0.250 143.68    2.277   2.077  0.018  716.949  23.784  2.838
 10.750  0.750 137.32    3.035   2.041  0.024  735.693  33.863  1.542
 11.500  0.250 113.41    1.883   1.881  0.017  841.584  30.538  2.364
 11.750  0.750 111.17    2.119   1.865  0.020  853.371  35.772  1.954
 12.500  1.250  97.40    1.589   1.827  0.016  813.091  29.204  1.651
 13.750  0.750  75.52    1.264   1.790  0.016  683.488  25.208  2.334
 14.500  0.250  66.42    1.393   1.761  0.020  642.316  29.639  1.617
 14.750  0.750  66.38    1.066   1.758  0.016  645.758  23.095  2.669
 15.500  0.250  56.68    1.257   1.733  0.021  583.698  28.405  0.832
 15.750  0.500  56.36    0.918   1.712  0.015  609.819  22.133  3.104
 16.250  0.750  49.41    1.812   1.637  0.035  639.136  56.378  1.302
 17.000  1.000  42.55    0.571   1.632  0.012  557.442  16.501  1.996
 18.000  1.000  37.75    0.518   1.589  0.011  549.946  16.393  1.572
 19.000  1.000  32.84    0.487   1.527  0.012  561.668  18.493  2.004
 20.000  1.250  30.31    0.826   1.520  0.023  526.956  33.873  1.714
 21.250  2.000  23.61    0.291   1.445  0.009  502.904  14.203  1.431
 23.250  4.000  18.88    0.257   1.350  0.010  527.942  17.526  1.813
 27.250  4.000  13.11    0.168   1.250  0.008  498.462  15.085  2.383
 31.250  8.000   9.95    0.160   1.176  0.009  483.721  18.034  1.195
 39.250  8.000   6.08    0.101   1.070  0.009  430.487  17.932  1.804
 47.250 16.000   4.36    0.089   1.056  0.011  325.436  16.794  1.659
 63.250 32.000   2.51    0.068   0.967  0.014  265.747  18.137  1.499
 95.250 32.000   1.17    0.052   0.903  0.022  163.442  19.823  0.975
127.250 32.000   0.75    0.056   0.866  0.033  123.750  24.162  0.891
159.250 16.260   0.64    0.093   0.775  0.049  164.683  57.309  1.072
