# File gs1826-24_3.530h.dat
# Created Thu Oct 13 16:48:39 2016
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is an average calculated from the profiles of MINBAR bursts 
# #3481, 3482, 3485, 3486, 3487, 3488 & 3489
# (#58, 59, 61, 62, 63 64 & 65 in Galloway et al. 2008, ApJS 179, 360), of
# GS 1826-24, observed on 
# MJD 54167-54169 by the Rossi X-ray Timing Explorer (RXTE).
# Burst #3485 is the "key", from which the time bins for the average
# profile are taken.
# Two additional bursts (#3480 & 3483, or #67 & 70 in G08) observed on
# that day were excluded from the average because of issues affecting
# parts of the burst lightcurve. See also
# http://burst.sci.monash.edu/minbar for full details of the source sample
#
# The burst recurrence time is derived from a linear fit to the times of
# these 9 RXTE bursts and 1 additional burst observed by INTEGRAL/JEM-X
# around the same time. 
# The fit incorporates intrinsic variations in the
# recurrence time, arising (for example) from the variations in accretion
# rate over the interval
#
# Assumed cycle count is
# [ 0, 1, 2, 3, 7, 8,10,11,12,14]
# Average recurrence time is 3.350 +/- 0.04 hr.
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 -2.250  0.500   0.82    0.196   1.952  0.977    7.878   5.974  0.954
 -1.750  0.500   1.15    0.165   1.779  0.305   12.837   7.348  0.908
 -1.250  0.500   2.29    0.375   1.829  0.102   19.450   3.398  0.937
 -0.750  0.500   4.16    0.273   1.915  0.075   29.049   5.515  0.749
 -0.250  0.500   6.02    0.396   1.941  0.043   40.037   3.722  0.922
  0.250  0.500   7.59    0.273   1.931  0.068   51.448   7.830  1.109
  0.750  0.500   9.64    0.440   1.967  0.037   59.877   3.575  0.966
  1.250  0.500  11.12    0.402   1.947  0.030   72.181   4.160  1.028
  1.750  0.500  13.02    0.303   1.997  0.062   76.849   9.165  0.922
  2.250  0.500  14.51    0.588   2.014  0.055   82.639   7.635  0.967
  2.750  0.500  16.22    0.577   2.019  0.072   92.169  10.804  0.875
  3.250  0.500  17.51    0.701   2.005  0.032  100.900   6.280  1.006
  3.750  0.500  18.89    0.989   1.999  0.055  110.870  12.208  0.835
  4.250  0.500  20.65    1.245   2.044  0.073  111.176  13.059  0.936
  4.750  0.500  22.04    1.389   2.069  0.047  112.080   9.043  0.995
  5.250  0.500  23.33    1.558   2.128  0.045  105.798   5.549  0.975
  5.750  0.500  24.47    1.415   2.154  0.043  105.768   6.284  0.923
  6.250  0.500  25.31    1.009   2.114  0.034  118.145   4.904  1.191
  6.750  0.500  26.14    1.538   2.177  0.047  108.596   7.002  0.912
  7.250  0.500  26.68    1.276   2.181  0.058  110.166   8.271  1.139
  7.750  0.500  27.16    0.921   2.190  0.056  110.350   9.921  0.917
  8.250  0.500  27.50    1.154   2.194  0.048  110.749   7.818  1.055
  8.750  0.500  27.57    0.919   2.221  0.047  105.584   6.488  0.980
  9.250  0.500  27.52    1.266   2.220  0.053  105.578   7.020  0.941
  9.750  0.500  26.84    1.037   2.182  0.047  110.401   6.948  1.067
 10.250  0.500  26.67    1.105   2.185  0.023  108.796   2.908  1.153
 10.750  0.500  26.61    1.162   2.179  0.062  110.335   9.084  0.897
 11.250  0.500  25.16    0.780   2.156  0.027  108.640   4.618  0.934
 11.750  0.500  24.75    0.797   2.160  0.038  106.118   7.943  1.051
 12.250  0.500  24.18    0.411   2.130  0.043  109.669   8.239  1.004
 12.750  0.500  23.34    0.600   2.112  0.023  109.291   4.068  1.003
 13.250  0.500  22.94    0.795   2.089  0.038  112.445   7.458  1.185
 13.750  0.500  21.87    0.816   2.069  0.041  111.353   9.467  1.121
 14.250  0.500  21.76    0.725   2.082  0.046  108.341   8.746  0.988
 14.750  0.500  21.07    0.939   2.072  0.042  106.483   5.176  0.805
 15.250  0.500  20.42    0.695   2.027  0.047  112.810   7.523  1.083
 15.875  0.750  19.93    0.603   2.046  0.039  105.969   5.571  1.056
 16.750  1.000  18.94    0.560   2.034  0.051  103.588   8.710  1.060
 17.750  1.000  18.00    0.535   1.975  0.043  110.796   9.672  1.100
 18.750  1.000  17.61    0.595   1.960  0.019  110.911   4.311  0.984
 19.750  1.000  16.69    0.689   1.955  0.033  106.384   5.410  0.833
 20.750  1.000  16.38    0.727   1.946  0.023  106.205   3.264  1.064
 21.750  1.000  15.84    0.513   1.930  0.026  106.516   7.159  1.063
 22.750  1.000  15.56    0.629   1.908  0.039  109.333   6.849  1.069
 23.750  1.000  14.75    0.857   1.873  0.039  111.503   6.444  1.016
 24.750  1.000  14.47    0.803   1.882  0.042  107.346   6.782  1.143
 25.750  1.000  13.74    0.858   1.860  0.043  106.747   5.368  1.232
 26.750  1.000  13.58    0.587   1.840  0.012  110.220   4.249  1.237
 27.750  1.000  13.47    0.495   1.836  0.024  110.350   7.248  1.007
 28.750  1.000  13.12    0.567   1.832  0.042  109.068   7.362  1.230
 29.750  1.000  12.79    0.765   1.835  0.033  105.008   6.811  1.167
 30.750  1.000  12.75    0.742   1.843  0.048  103.137   8.590  1.247
 31.750  1.000  12.71    0.707   1.835  0.036  104.622   8.427  1.303
 32.750  1.000  12.21    0.514   1.805  0.028  106.997   6.412  1.394
